"scc","dr","region"
108.98405886908013,"1.5%",globe
606.318832321035,"1.5%",globe
340.65248080769163,"1.5%",globe
479.541128689666,"1.5%",globe
121.90497866974293,"1.5%",globe
415.43690546264594,"1.5%",globe
348.2837363516365,"1.5%",globe
122.64952692771638,"1.5%",globe
235.52334057228262,"1.5%",globe
427.90412404606946,"1.5%",globe
46.37772879339918,"2.5%",globe
230.08982244225868,"2.5%",globe
123.13821496200472,"2.5%",globe
209.77710455645501,"2.5%",globe
36.951993530517655,"2.5%",globe
149.60059117096208,"2.5%",globe
161.7104028775422,"2.5%",globe
18.343215046925113,"2.5%",globe
48.55118042151658,"2.5%",globe
290.6575464545329,"2.5%",globe
69.11234885072913,"2.0%",globe
371.12204038828344,"2.0%",globe
207.14759168164682,"2.0%",globe
322.5616877849373,"2.0%",globe
65.39394483967992,"2.0%",globe
235.1087626591901,"2.0%",globe
237.6768384284926,"2.0%",globe
41.09797439345907,"2.0%",globe
93.30936125525331,"2.0%",globe
367.6526235606754,"2.0%",globe
32.700112367564,"3.0%",globe
150.19898888339512,"3.0%",globe
75.43547741197075,"3.0%",globe
137.88656583061754,"3.0%",globe
22.127615995224993,"3.0%",globe
104.85450223447671,"3.0%",globe
114.37285633620083,"3.0%",globe
10.035464557916882,"3.0%",globe
29.124344070379063,"3.0%",globe
224.76045393578485,"3.0%",globe
