"scc","dr","region"
106.72737426629759,"1.5%",globe
584.6548206085491,"1.5%",globe
272.6453405424162,"1.5%",globe
473.85656578241986,"1.5%",globe
120.25375024230433,"1.5%",globe
386.6740060712712,"1.5%",globe
331.6402601434903,"1.5%",globe
118.87062568599926,"1.5%",globe
210.66025231039612,"1.5%",globe
419.75719462215676,"1.5%",globe
67.20610501728801,"2.0%",globe
357.6496811527255,"2.0%",globe
170.11613580299968,"2.0%",globe
318.388521777928,"2.0%",globe
64.45758494112339,"2.0%",globe
220.82831695879858,"2.0%",globe
226.14175941671834,"2.0%",globe
39.4064165757465,"2.0%",globe
86.88190519035302,"2.0%",globe
360.23653038850284,"2.0%",globe
7.044100762651862,"3.0%",domestic
10.47743769154666,"3.0%",domestic
1.4855130380369619,"3.0%",domestic
2.072102349289341,"3.0%",domestic
2.1747339010884206,"3.0%",domestic
9.355315101538462,"3.0%",domestic
6.276209919412241,"3.0%",domestic
0.5375046272691446,"3.0%",domestic
3.8031287069493187,"3.0%",domestic
6.278494112331025,"3.0%",domestic
31.560463519470744,"3.0%",globe
144.71303687442312,"3.0%",globe
66.55802370611634,"3.0%",globe
135.6749888203612,"3.0%",globe
21.832522021979138,"3.0%",globe
99.68828078377231,"3.0%",globe
108.62576877399408,"3.0%",globe
9.35466511793153,"3.0%",globe
27.43770394920065,"3.0%",globe
219.60206263165574,"3.0%",globe
13.98950813763362,"2.0%",domestic
23.366118323503997,"2.0%",domestic
2.898711727524544,"2.0%",domestic
4.693122631021608,"2.0%",domestic
5.005367646345001,"2.0%",domestic
22.076061791896585,"2.0%",domestic
13.035764815455535,"2.0%",domestic
1.1083337722656637,"2.0%",domestic
9.760679765499368,"2.0%",domestic
9.101055085715489,"2.0%",domestic
44.89382898925202,"2.5%",globe
221.68516236932658,"2.5%",globe
104.83564077658083,"2.5%",globe
206.75869785953424,"2.5%",globe
36.421227001923846,"2.5%",globe
141.51809852451296,"2.5%",globe
153.72774214346845,"2.5%",globe
17.350074502477252,"2.5%",globe
45.77328631509008,"2.5%",globe
284.39262107482375,"2.5%",globe
21.674167868092802,"1.5%",domestic
36.45520054883415,"1.5%",domestic
4.223487788379693,"1.5%",domestic
6.9366143951279975,"1.5%",domestic
8.522509618494627,"1.5%",domestic
41.316046392679155,"1.5%",domestic
19.237122929599234,"1.5%",domestic
2.1530790921051515,"1.5%",domestic
23.70475101004056,"1.5%",domestic
10.085156157823821,"1.5%",domestic
9.656893860299649,"2.5%",domestic
15.21779729004773,"2.5%",domestic
2.0308393725392646,"2.5%",domestic
3.0903473101725414,"2.5%",domestic
3.179075180208985,"2.5%",domestic
13.55161752215117,"2.5%",domestic
8.839498768705074,"2.5%",domestic
0.7244001778241744,"2.5%",domestic
5.58049766690639,"2.5%",domestic
7.647592336300992,"2.5%",domestic
