"scc","dr","region"
173.48424997045402,"1.5%",globe
681.8325433829043,"1.5%",globe
215.18217242085117,"1.5%",globe
348.5169513304785,"1.5%",globe
318.04171957021254,"1.5%",globe
357.299130568493,"1.5%",globe
436.78264558379954,"1.5%",globe
247.4951627742786,"1.5%",globe
569.3253910833686,"1.5%",globe
558.7684766349947,"1.5%",globe
333.5899188615998,"1.5%",globe
670.3349984186309,"1.5%",globe
428.2473864947227,"1.5%",globe
340.2055085721959,"1.5%",globe
379.10068775692037,"1.5%",globe
559.7665947404267,"1.5%",globe
204.01271470758738,"1.5%",globe
126.70354462600234,"1.5%",globe
217.12741692866138,"1.5%",globe
343.14054142182783,"1.5%",globe
214.59059405248368,"1.5%",globe
122.30538170052773,"1.5%",globe
334.781021578651,"1.5%",globe
85.58277057330687,"1.5%",globe
155.4877379750842,"1.5%",globe
508.0708352547674,"1.5%",globe
809.8215376754497,"1.5%",globe
414.89603317141257,"1.5%",globe
692.9490856118708,"1.5%",globe
271.58356836481414,"1.5%",globe
243.1508439199113,"1.5%",globe
287.54123918573987,"1.5%",globe
506.37350272160694,"1.5%",globe
195.6080939756543,"1.5%",globe
376.6583176473137,"1.5%",globe
213.43362979284464,"1.5%",globe
548.3723949124732,"1.5%",globe
144.41581171568217,"1.5%",globe
359.9065808738267,"1.5%",globe
167.33893263290233,"1.5%",globe
258.30017148940027,"1.5%",globe
367.83881789513293,"1.5%",globe
113.83332972626641,"1.5%",globe
367.05135750403446,"1.5%",globe
94.45941728521169,"1.5%",globe
810.1848590051225,"1.5%",globe
95.60025435742605,"1.5%",globe
235.44777362337322,"1.5%",globe
266.13246951389806,"1.5%",globe
293.3296195454147,"1.5%",globe
200.24538048483566,"1.5%",globe
559.5261773833926,"1.5%",globe
336.4621984634345,"1.5%",globe
287.6813795371694,"1.5%",globe
295.4640705294629,"1.5%",globe
185.5010532152107,"1.5%",globe
333.11098069691315,"1.5%",globe
201.65317839321938,"1.5%",globe
170.15744341051843,"1.5%",globe
887.5307162395405,"1.5%",globe
136.36449299746133,"1.5%",globe
403.75891479406874,"1.5%",globe
229.63112810903692,"1.5%",globe
531.8803892510717,"1.5%",globe
345.40322479945564,"1.5%",globe
409.3822508552176,"1.5%",globe
384.46545906424575,"1.5%",globe
533.9079455375527,"1.5%",globe
209.10173545827757,"1.5%",globe
430.4101583343638,"1.5%",globe
185.3772930003534,"1.5%",globe
483.7614326180171,"1.5%",globe
171.8591229956705,"1.5%",globe
693.0084757579425,"1.5%",globe
69.34494985689878,"1.5%",globe
240.52579884827102,"1.5%",globe
227.26363521365369,"1.5%",globe
31.624962684891315,"1.5%",globe
143.86487163448615,"1.5%",globe
311.38003028900914,"1.5%",globe
259.82580048675675,"1.5%",globe
357.3205780787223,"1.5%",globe
55.31172599859684,"1.5%",globe
264.2676996458762,"1.5%",globe
246.69501122918027,"1.5%",globe
380.7217428074047,"1.5%",globe
92.40246631611177,"1.5%",globe
374.3609249863712,"1.5%",globe
145.33112890022394,"1.5%",globe
443.3277852855977,"1.5%",globe
197.44105980290433,"1.5%",globe
172.03271624736996,"1.5%",globe
198.5654035950976,"1.5%",globe
411.5272239853923,"1.5%",globe
144.3334980790776,"1.5%",globe
146.84054541248128,"1.5%",globe
664.8466995803096,"1.5%",globe
209.51818346700998,"1.5%",globe
210.16272611325297,"1.5%",globe
225.69847679722048,"1.5%",globe
64.98303636467938,"1.5%",globe
126.49360749691988,"1.5%",globe
665.2092523621982,"1.5%",globe
521.8587251606667,"1.5%",globe
279.52052831056085,"1.5%",globe
109.72695566115878,"1.5%",globe
428.71390221687113,"1.5%",globe
178.35608845623665,"1.5%",globe
370.73604946996795,"1.5%",globe
615.5088138741478,"1.5%",globe
217.87580070871505,"1.5%",globe
155.66667922180926,"1.5%",globe
98.78268378703753,"1.5%",globe
457.1614591907281,"1.5%",globe
351.1123297086071,"1.5%",globe
206.81490521037958,"1.5%",globe
205.41902352006946,"1.5%",globe
564.3683110945519,"1.5%",globe
213.72446590810094,"1.5%",globe
69.35775417592916,"1.5%",globe
264.8628437962669,"1.5%",globe
447.2038438298087,"1.5%",globe
168.25661026858697,"1.5%",globe
382.1286464845928,"1.5%",globe
74.72117029484039,"1.5%",globe
315.10300947062444,"1.5%",globe
588.2137288854619,"1.5%",globe
416.53513267386086,"1.5%",globe
129.38716484199946,"1.5%",globe
857.994110480882,"1.5%",globe
211.78201209466903,"1.5%",globe
21.297865612098715,"1.5%",globe
534.8255844862842,"1.5%",globe
269.31374468344063,"1.5%",globe
645.7303038565399,"1.5%",globe
