"scc","dr","region"
170.22805853401002,"1.5%",globe
678.9912084195898,"1.5%",globe
215.31457338261413,"1.5%",globe
348.854759964514,"1.5%",globe
318.8966179909185,"1.5%",globe
357.99586294760786,"1.5%",globe
432.16745905695734,"1.5%",globe
248.6844914374913,"1.5%",globe
566.1472033399451,"1.5%",globe
558.402819852402,"1.5%",globe
333.4380161505576,"1.5%",globe
665.5694337963162,"1.5%",globe
425.0147915774873,"1.5%",globe
340.0528374723096,"1.5%",globe
379.3015243620559,"1.5%",globe
560.1473928446312,"1.5%",globe
208.30462689912835,"1.5%",globe
127.45612482994858,"1.5%",globe
260.3568904195477,"1.5%",globe
340.943649415808,"1.5%",globe
217.05461022304968,"1.5%",globe
123.8688272247229,"1.5%",globe
335.4572977922946,"1.5%",globe
94.02546459408022,"1.5%",globe
156.27115772669728,"1.5%",globe
507.84103908834817,"1.5%",globe
808.7306801226362,"1.5%",globe
417.45737030068096,"1.5%",globe
683.1786598327521,"1.5%",globe
271.01479202381057,"1.5%",globe
244.60609269074928,"1.5%",globe
287.4973977042079,"1.5%",globe
505.3061205796262,"1.5%",globe
195.07736666938243,"1.5%",globe
376.55485039688693,"1.5%",globe
222.09028434848366,"1.5%",globe
546.4210049327389,"1.5%",globe
144.46252783008262,"1.5%",globe
358.75798867838853,"1.5%",globe
168.05068717546578,"1.5%",globe
257.72354270168654,"1.5%",globe
369.5769325252196,"1.5%",globe
112.542128319051,"1.5%",globe
367.54667941952573,"1.5%",globe
98.19098672435325,"1.5%",globe
809.7523578886367,"1.5%",globe
95.82924685141296,"1.5%",globe
235.58660892594528,"1.5%",globe
266.21150239976413,"1.5%",globe
292.1012481209752,"1.5%",globe
202.14492360649447,"1.5%",globe
557.160604237182,"1.5%",globe
336.9418373832356,"1.5%",globe
287.30959780997676,"1.5%",globe
295.32553416453766,"1.5%",globe
185.8807619883232,"1.5%",globe
337.6291263711249,"1.5%",globe
201.5862148187092,"1.5%",globe
170.01465697131647,"1.5%",globe
727.5300195821401,"1.5%",globe
139.17398433880265,"1.5%",globe
405.7289933774666,"1.5%",globe
229.39422150207787,"1.5%",globe
533.6434337109667,"1.5%",globe
344.78178043333554,"1.5%",globe
408.9489365321593,"1.5%",globe
380.8714270573585,"1.5%",globe
536.3769667442937,"1.5%",globe
210.37979045324096,"1.5%",globe
430.4726809089084,"1.5%",globe
185.85493326429918,"1.5%",globe
