"scc","dr","region"
200.27160774440472,"1.5%",globe
709.5977681305644,"1.5%",globe
226.607327014116,"1.5%",globe
374.4769555229671,"1.5%",globe
380.886375292315,"1.5%",globe
398.8399760364051,"1.5%",globe
478.6331133809559,"1.5%",globe
285.9710724448506,"1.5%",globe
593.906329327029,"1.5%",globe
579.7553671184996,"1.5%",globe
342.58628783726465,"1.5%",globe
694.9308270597049,"1.5%",globe
445.59749825944544,"1.5%",globe
353.59481928796015,"1.5%",globe
401.5326459883636,"1.5%",globe
610.0020913558257,"1.5%",globe
262.58241116687907,"1.5%",globe
139.26446667684016,"1.5%",globe
285.2622309672276,"1.5%",globe
391.18613522125776,"1.5%",globe
225.35822061820343,"1.5%",globe
130.4694735537006,"1.5%",globe
373.42981266399306,"1.5%",globe
110.09974366924,"1.5%",globe
176.55152484621425,"1.5%",globe
530.7843038071655,"1.5%",globe
808.2311358577024,"1.5%",globe
507.3336948605206,"1.5%",globe
740.6519347677191,"1.5%",globe
294.68847331668076,"1.5%",globe
264.2329922181784,"1.5%",globe
311.4363569534369,"1.5%",globe
513.9503620208745,"1.5%",globe
210.65383615632857,"1.5%",globe
390.4999836352978,"1.5%",globe
231.71076283470865,"1.5%",globe
581.9617978376328,"1.5%",globe
158.853216918373,"1.5%",globe
375.50338799692656,"1.5%",globe
171.81605861612752,"1.5%",globe
271.5549639096812,"1.5%",globe
406.51053147095257,"1.5%",globe
126.58773944453924,"1.5%",globe
369.69260043837954,"1.5%",globe
101.02841359412398,"1.5%",globe
820.693775440352,"1.5%",globe
115.07925589752017,"1.5%",globe
259.18262188403565,"1.5%",globe
280.64476218005467,"1.5%",globe
307.28450060256273,"1.5%",globe
223.65720828294755,"1.5%",globe
566.9290438211813,"1.5%",globe
341.98142231860396,"1.5%",globe
295.7005663767982,"1.5%",globe
309.9117906581103,"1.5%",globe
196.57844967745424,"1.5%",globe
338.571282021391,"1.5%",globe
212.54883934466608,"1.5%",globe
193.53494440488387,"1.5%",globe
908.3767681028359,"1.5%",globe
151.854013385139,"1.5%",globe
423.9902716629822,"1.5%",globe
257.06925091592683,"1.5%",globe
584.8481852924109,"1.5%",globe
381.04196521263657,"1.5%",globe
417.23614849370637,"1.5%",globe
441.90671815438026,"1.5%",globe
551.3562162048356,"1.5%",globe
223.22345236640027,"1.5%",globe
435.8508723357434,"1.5%",globe
192.72029071119624,"1.5%",globe
523.931815852507,"1.5%",globe
187.95734177851682,"1.5%",globe
709.0685494850387,"1.5%",globe
75.1133225847268,"1.5%",globe
248.4848205956567,"1.5%",globe
229.59782577025817,"1.5%",globe
38.66712676631195,"1.5%",globe
147.23185131029513,"1.5%",globe
331.2970396252608,"1.5%",globe
272.13253937104935,"1.5%",globe
384.0122118332926,"1.5%",globe
63.84164698593986,"1.5%",globe
278.32918679349393,"1.5%",globe
276.6967935334717,"1.5%",globe
402.42233750554664,"1.5%",globe
119.80857048001393,"1.5%",globe
387.42491119773274,"1.5%",globe
162.92715960439756,"1.5%",globe
455.75999504284033,"1.5%",globe
208.83385593824718,"1.5%",globe
179.94311559979047,"1.5%",globe
202.97292229941172,"1.5%",globe
451.07436927153105,"1.5%",globe
154.4760139992427,"1.5%",globe
161.27592507706956,"1.5%",globe
720.8942107505027,"1.5%",globe
231.65877182195086,"1.5%",globe
218.2308368187767,"1.5%",globe
234.27338572144117,"1.5%",globe
82.6449417014132,"1.5%",globe
139.29920025020937,"1.5%",globe
677.2020749564113,"1.5%",globe
596.9007249004791,"1.5%",globe
283.9488609750363,"1.5%",globe
127.87545718527936,"1.5%",globe
450.6435664541495,"1.5%",globe
186.45074560814464,"1.5%",globe
393.6315523847411,"1.5%",globe
634.011760019576,"1.5%",globe
237.78642449056537,"1.5%",globe
273.5030991203109,"1.5%",globe
109.73208265889481,"1.5%",globe
517.3489944889199,"1.5%",globe
371.8289684143721,"1.5%",globe
222.41530986147953,"1.5%",globe
212.57258188645477,"1.5%",globe
684.5491709845822,"1.5%",globe
227.80091509026735,"1.5%",globe
81.54351802338756,"1.5%",globe
281.58735551352106,"1.5%",globe
470.8003596869406,"1.5%",globe
204.89375184947082,"1.5%",globe
403.60807641077383,"1.5%",globe
95.4706689084574,"1.5%",globe
