"scc","dr","region"
245.92799658035483,"1.5%",globe
774.1934988193583,"1.5%",globe
309.70920342553995,"1.5%",globe
445.31481676167743,"1.5%",globe
404.30292431909623,"1.5%",globe
511.3997294817104,"1.5%",globe
481.3421203123555,"1.5%",globe
251.8017840289228,"1.5%",globe
691.7345238076591,"1.5%",globe
575.4274983746833,"1.5%",globe
381.0893995715659,"1.5%",globe
859.7263487772009,"1.5%",globe
549.6962275789449,"1.5%",globe
366.46184431475194,"1.5%",globe
479.343748958832,"1.5%",globe
913.2662120939285,"1.5%",globe
256.00806409554946,"1.5%",globe
152.60397634512412,"1.5%",globe
327.577741583248,"1.5%",globe
481.6044630222447,"1.5%",globe
198.50696717375644,"1.5%",globe
193.83452944287538,"1.5%",globe
403.61046901743384,"1.5%",globe
126.39867592015337,"1.5%",globe
258.6747963615654,"1.5%",globe
496.7864886532631,"1.5%",globe
1017.2490615840637,"1.5%",globe
592.0017406225476,"1.5%",globe
1082.7569583902966,"1.5%",globe
314.57315051098783,"1.5%",globe
303.00958924401164,"1.5%",globe
322.20981564061975,"1.5%",globe
556.6581454782421,"1.5%",globe
224.70746282044007,"1.5%",globe
359.1631970924475,"1.5%",globe
227.0554498877313,"1.5%",globe
551.8793335815934,"1.5%",globe
256.16312263377756,"1.5%",globe
533.2998129375014,"1.5%",globe
249.06123559160113,"1.5%",globe
225.7972344132944,"1.5%",globe
383.99981166565857,"1.5%",globe
166.39008416035327,"1.5%",globe
524.6281556879586,"1.5%",globe
110.2870100056313,"1.5%",globe
986.9551051010036,"1.5%",globe
155.61332150279097,"1.5%",globe
296.4873450405897,"1.5%",globe
336.34984352925727,"1.5%",globe
338.98677287343696,"1.5%",globe
249.5294763082024,"1.5%",globe
674.8002632393649,"1.5%",globe
429.6321451302109,"1.5%",globe
296.36421453306696,"1.5%",globe
329.00959753296337,"1.5%",globe
241.01311549272575,"1.5%",globe
404.345265571293,"1.5%",globe
259.4886236570597,"1.5%",globe
215.49448706553352,"1.5%",globe
903.8164553153098,"1.5%",globe
176.62360343334893,"1.5%",globe
522.6556240270245,"1.5%",globe
324.58628724083616,"1.5%",globe
554.5003101876513,"1.5%",globe
304.0948244928575,"1.5%",globe
592.1612544113502,"1.5%",globe
409.1180684614053,"1.5%",globe
530.5026673585379,"1.5%",globe
244.02682647563913,"1.5%",globe
511.444542581366,"1.5%",globe
159.90850914399985,"1.5%",globe
750.6770607959038,"1.5%",globe
227.05670900692255,"1.5%",globe
705.0150823345842,"1.5%",globe
91.52638950689096,"1.5%",globe
258.32763176656607,"1.5%",globe
228.03196839021223,"1.5%",globe
45.906673097610735,"1.5%",globe
183.8182385689939,"1.5%",globe
373.0317138129509,"1.5%",globe
348.3413346321855,"1.5%",globe
474.0217913997858,"1.5%",globe
61.409235983101624,"1.5%",globe
359.66233684966204,"1.5%",globe
323.46886305543774,"1.5%",globe
625.3528294216864,"1.5%",globe
119.61923126963751,"1.5%",globe
306.9381471320473,"1.5%",globe
154.44664993451022,"1.5%",globe
653.0261261664655,"1.5%",globe
184.56364344236312,"1.5%",globe
184.2319396720073,"1.5%",globe
215.35833769188034,"1.5%",globe
427.81747153356315,"1.5%",globe
176.30703848810847,"1.5%",globe
189.85523092424836,"1.5%",globe
701.9002779128862,"1.5%",globe
218.30049594001042,"1.5%",globe
235.63130815063556,"1.5%",globe
288.28897621974306,"1.5%",globe
105.63618548431883,"1.5%",globe
180.20146970522381,"1.5%",globe
547.2762638945487,"1.5%",globe
864.3784071163242,"1.5%",globe
418.33103536558053,"1.5%",globe
153.09029390417155,"1.5%",globe
426.4210220664702,"1.5%",globe
251.66070522598534,"1.5%",globe
591.2261269298893,"1.5%",globe
624.0119662366882,"1.5%",globe
246.1743710137174,"1.5%",globe
263.00484665550385,"1.5%",globe
137.13567077415374,"1.5%",globe
563.0982287409478,"1.5%",globe
397.26994010379576,"1.5%",globe
218.55872785152786,"1.5%",globe
315.29311126908397,"1.5%",globe
658.5190737440543,"1.5%",globe
213.78072426530161,"1.5%",globe
92.35976901595414,"1.5%",globe
279.2070204960285,"1.5%",globe
391.9869107725468,"1.5%",globe
181.15484197032666,"1.5%",globe
575.3107877800837,"1.5%",globe
87.13051558279444,"1.5%",globe
396.50509005734506,"1.5%",globe
872.1834936487203,"1.5%",globe
395.7813627267953,"1.5%",globe
150.13903930954194,"1.5%",globe
1186.5036190284698,"1.5%",globe
180.81045243006938,"1.5%",globe
46.6818017429748,"1.5%",globe
643.820094707343,"1.5%",globe
313.28870991708953,"1.5%",globe
720.7964480436317,"1.5%",globe
421.56671252454635,"1.5%",globe
830.3010133558727,"1.5%",globe
457.3442466949332,"1.5%",globe
192.045051230925,"1.5%",globe
209.36408684601528,"1.5%",globe
712.267914490919,"1.5%",globe
483.42696046033984,"1.5%",globe
505.12629974803883,"1.5%",globe
403.6242787831179,"1.5%",globe
349.5292343874968,"1.5%",globe
941.0720985893862,"1.5%",globe
296.87181121123973,"1.5%",globe
679.961183149285,"1.5%",globe
374.01752632545396,"1.5%",globe
432.84064756227036,"1.5%",globe
250.053385595133,"1.5%",globe
256.0440169533016,"1.5%",globe
363.64632255054534,"1.5%",globe
285.70774229899047,"1.5%",globe
673.2145914467055,"1.5%",globe
281.4713302163689,"1.5%",globe
245.05430213139087,"1.5%",globe
636.5303438268035,"1.5%",globe
271.6973272056242,"1.5%",globe
157.38090243127272,"1.5%",globe
369.19158320356524,"1.5%",globe
231.031025912029,"1.5%",globe
221.15620133905057,"1.5%",globe
531.1327599625739,"1.5%",globe
154.72728987163066,"1.5%",globe
375.16329792874194,"1.5%",globe
252.38905835046594,"1.5%",globe
412.5076722117274,"1.5%",globe
394.9390498479548,"1.5%",globe
383.2552756478915,"1.5%",globe
121.5267721458227,"1.5%",globe
532.2095338508362,"1.5%",globe
136.57843486657353,"1.5%",globe
404.253543422886,"1.5%",globe
282.79350258699407,"1.5%",globe
258.69088284120954,"1.5%",globe
513.4521317764049,"1.5%",globe
575.8051047876679,"1.5%",globe
652.5293120100763,"1.5%",globe
293.7685640832214,"1.5%",globe
534.0880349912023,"1.5%",globe
812.6213072188241,"1.5%",globe
400.25829132352976,"1.5%",globe
407.37449959734255,"1.5%",globe
462.2727253589319,"1.5%",globe
494.7000668079121,"1.5%",globe
183.71598279644974,"1.5%",globe
96.69884880382135,"1.5%",globe
567.283411375141,"1.5%",globe
181.64656080006517,"1.5%",globe
426.68214910525506,"1.5%",globe
760.5532011670913,"1.5%",globe
175.2291112264935,"1.5%",globe
229.2695219231326,"1.5%",globe
170.4648605712083,"1.5%",globe
339.2765563867977,"1.5%",globe
378.4928297679367,"1.5%",globe
243.00906226827678,"1.5%",globe
231.88194261212809,"1.5%",globe
62.64731502409099,"1.5%",globe
577.3048538427578,"1.5%",globe
312.46207105414743,"1.5%",globe
261.9671469951132,"1.5%",globe
338.8156596428067,"1.5%",globe
552.7211140491239,"1.5%",globe
276.9095307185029,"1.5%",globe
219.71213375738657,"1.5%",globe
367.4147245842173,"1.5%",globe
103.18815617793263,"1.5%",globe
494.83214410593774,"1.5%",globe
553.0372452767742,"1.5%",globe
283.0591488482598,"1.5%",globe
454.9956415869272,"1.5%",globe
624.0917112433211,"1.5%",globe
597.2980014500204,"1.5%",globe
487.6607115482315,"1.5%",globe
600.1736840679332,"1.5%",globe
315.99581732175164,"1.5%",globe
