"scc","sector","dr","region"
0.000951862235226583,energy,"2.0%",domestic
0.0032744405993440683,energy,"2.0%",domestic
0.0029514259612615635,energy,"2.0%",domestic
0.0017512736022850214,energy,"2.0%",domestic
0.0013488460896983908,energy,"2.0%",domestic
0.003674252766524092,energy,"2.0%",domestic
0.003719598052632218,energy,"2.0%",domestic
0.0019892638894334395,energy,"2.0%",domestic
0.002321370776111311,energy,"2.0%",domestic
0.0022073620182254867,energy,"2.0%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.0,smoke,"2.5%",domestic
0.1742508608621326,agriculture,"3.0%",domestic
0.3852985268686044,agriculture,"3.0%",domestic
-0.0234828618588131,agriculture,"3.0%",domestic
1.1241395134143788,agriculture,"3.0%",domestic
0.041530386786697696,agriculture,"3.0%",domestic
0.7473850911348568,agriculture,"3.0%",domestic
0.409111274537733,agriculture,"3.0%",domestic
0.03403745391522889,agriculture,"3.0%",domestic
-0.03625518928894517,agriculture,"3.0%",domestic
0.7310994593672918,agriculture,"3.0%",domestic
0.0012529786073938,energy,"1.5%",domestic
0.004789866294333682,energy,"1.5%",domestic
0.004849581714274683,energy,"1.5%",domestic
0.0023944133135313955,energy,"1.5%",domestic
0.002263527418258315,energy,"1.5%",domestic
0.007016969536243904,energy,"1.5%",domestic
0.005139238912128007,energy,"1.5%",domestic
0.00449764056900677,energy,"1.5%",domestic
0.00500837867197997,energy,"1.5%",domestic
0.002399068394885884,energy,"1.5%",domestic
106.72737426629759,total,"1.5%",globe
584.6548206085491,total,"1.5%",globe
272.6453405424162,total,"1.5%",globe
473.85656578241986,total,"1.5%",globe
120.25375024230433,total,"1.5%",globe
386.6740060712712,total,"1.5%",globe
331.6402601434903,total,"1.5%",globe
118.87062568599926,total,"1.5%",globe
210.66025231039612,total,"1.5%",globe
419.75719462215676,total,"1.5%",globe
67.20610501728801,total,"2.0%",globe
357.6496811527255,total,"2.0%",globe
170.11613580299968,total,"2.0%",globe
318.388521777928,total,"2.0%",globe
64.45758494112339,total,"2.0%",globe
220.82831695879858,total,"2.0%",globe
226.14175941671834,total,"2.0%",globe
39.4064165757465,total,"2.0%",globe
86.88190519035302,total,"2.0%",globe
360.23653038850284,total,"2.0%",globe
0.8410472944039117,slr,"3.0%",globe
1.7029451740338377,slr,"3.0%",globe
0.7895923446426855,slr,"3.0%",globe
0.8187521274234283,slr,"3.0%",globe
0.31629314550397936,slr,"3.0%",globe
0.7365246411929555,slr,"3.0%",globe
1.5215442585205319,slr,"3.0%",globe
0.2232187713293615,slr,"3.0%",globe
0.20378686937532606,slr,"3.0%",globe
4.342583819820856,slr,"3.0%",globe
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.0,smoke,"1.5%",domestic
0.23170829401232843,slr,"2.5%",domestic
