"scc","dr","region"
242.74340566574742,"1.5%",globe
784.7511647189298,"1.5%",globe
309.6324374205209,"1.5%",globe
437.9355442519458,"1.5%",globe
402.76090104078423,"1.5%",globe
515.4844652316607,"1.5%",globe
494.3799005894574,"1.5%",globe
253.10887218738725,"1.5%",globe
695.7829693098075,"1.5%",globe
576.8038559139316,"1.5%",globe
380.51995304282144,"1.5%",globe
866.4764392931546,"1.5%",globe
549.1610910033438,"1.5%",globe
368.31328570775247,"1.5%",globe
478.9787475677717,"1.5%",globe
914.8883104763515,"1.5%",globe
246.36922722028893,"1.5%",globe
149.78539520905503,"1.5%",globe
227.5286789512447,"1.5%",globe
495.167450782425,"1.5%",globe
193.82375634528591,"1.5%",globe
190.07733148989175,"1.5%",globe
399.6149321894062,"1.5%",globe
105.83195904578825,"1.5%",globe
257.91161026719493,"1.5%",globe
494.8653860990439,"1.5%",globe
1018.3467897454125,"1.5%",globe
576.3929497895987,"1.5%",globe
1060.368902560705,"1.5%",globe
316.5286364104805,"1.5%",globe
303.99359865611365,"1.5%",globe
320.4670735353858,"1.5%",globe
559.0957872201076,"1.5%",globe
224.0005915509425,"1.5%",globe
359.68093356083796,"1.5%",globe
213.30321129782905,"1.5%",globe
556.7355757164881,"1.5%",globe
255.6934168980106,"1.5%",globe
538.0952220416949,"1.5%",globe
247.4201443808992,"1.5%",globe
226.4114396706693,"1.5%",globe
383.4556269726088,"1.5%",globe
168.2490564680453,"1.5%",globe
524.5788983355784,"1.5%",globe
104.35221380224282,"1.5%",globe
988.6905132917859,"1.5%",globe
150.29571228954785,"1.5%",globe
298.91850258876366,"1.5%",globe
334.97779877541996,"1.5%",globe
339.36732605361755,"1.5%",globe
241.5835776892105,"1.5%",globe
679.3242160027457,"1.5%",globe
427.99041059587023,"1.5%",globe
296.76506803573267,"1.5%",globe
327.80611087598993,"1.5%",globe
239.04083950114875,"1.5%",globe
398.0648503344649,"1.5%",globe
258.91678972475785,"1.5%",globe
217.00143379450486,"1.5%",globe
345.92011541889195,"1.5%",globe
166.5267946697643,"1.5%",globe
