"scc","sector","dr","region"
3.9731906423632797,energy,"2.0%",globe
11.279842010827053,energy,"2.0%",globe
11.809554339410628,energy,"2.0%",globe
9.741204744532503,energy,"2.0%",globe
3.228134941329385,energy,"2.0%",globe
8.015094125984183,energy,"2.0%",globe
8.578027200711798,energy,"2.0%",globe
5.064145487148966,energy,"2.0%",globe
5.976069544246634,energy,"2.0%",globe
10.751479661184405,energy,"2.0%",globe
-14.921505997816597,agriculture,"2.0%",globe
148.53596511269706,agriculture,"2.0%",globe
86.10271163880537,agriculture,"2.0%",globe
247.6957366936267,agriculture,"2.0%",globe
20.088862749659302,agriculture,"2.0%",globe
132.21214886752134,agriculture,"2.0%",globe
121.22881773234339,agriculture,"2.0%",globe
-5.472821596581316,agriculture,"2.0%",globe
6.863456769661868,agriculture,"2.0%",globe
224.33668403038638,agriculture,"2.0%",globe
2.496253589374824,slr,"1.5%",globe
6.2014965343489585,slr,"1.5%",globe
3.4364450190353497,slr,"1.5%",globe
3.1701481771785436,slr,"1.5%",globe
1.388495079335128,slr,"1.5%",globe
3.381199346840882,slr,"1.5%",globe
4.516053816659649,slr,"1.5%",globe
1.0223654274681209,slr,"1.5%",globe
0.7781008580776345,slr,"1.5%",globe
9.301063015032051,slr,"1.5%",globe
-20.530700794377303,agriculture,"1.5%",globe
235.10612000309638,agriculture,"1.5%",globe
137.89380742662894,agriculture,"1.5%",globe
369.0293413169857,agriculture,"1.5%",globe
40.42914198955305,agriculture,"1.5%",globe
222.16658672572717,agriculture,"1.5%",globe
177.72447272328162,agriculture,"1.5%",globe
3.1580285262151504,agriculture,"1.5%",globe
25.59035982189703,agriculture,"1.5%",globe
260.907188185526,agriculture,"1.5%",globe
108.98405886908013,total,"1.5%",globe
606.318832321035,total,"1.5%",globe
340.65248080769163,total,"1.5%",globe
479.541128689666,total,"1.5%",globe
121.90497866974293,total,"1.5%",globe
415.43690546264594,total,"1.5%",globe
348.2837363516365,total,"1.5%",globe
122.64952692771638,total,"1.5%",globe
235.52334057228262,total,"1.5%",globe
427.90412404606946,total,"1.5%",globe
46.37772879339918,total,"2.5%",globe
230.08982244225868,total,"2.5%",globe
123.13821496200472,total,"2.5%",globe
209.77710455645501,total,"2.5%",globe
36.951993530517655,total,"2.5%",globe
149.60059117096208,total,"2.5%",globe
161.7104028775422,total,"2.5%",globe
18.343215046925113,total,"2.5%",globe
48.55118042151658,total,"2.5%",globe
290.6575464545329,total,"2.5%",globe
69.11234885072913,total,"2.0%",globe
371.12204038828344,total,"2.0%",globe
207.14759168164682,total,"2.0%",globe
322.5616877849373,total,"2.0%",globe
